µÄ	1588562
Ò»	773043
ÊÇ	610501
²»	593414
ÁË	582484
ÈË	490626
ÎÒ	460549
ÔÚ	437823
ÓÐ	384080
Ëû	375131
Õâ	339450
ÖÐ	325646
´ó	304145
À´	291557
ÉÏ	288859
¹ú	283389
¸ö	269922
µ½	233341
Ëµ	230574
ÃÇ	224963
Îª	200913
×Ó	200291
ºÍ	199751
Äã	198012
µØ	195487
³ö	193194
µÀ	191097
Ò²	187386
Ê±	187011
Äê	182682
µÃ	180138
¾Í	176795
ÄÇ	173689
Òª	168322
ÏÂ	166385
ÒÔ	158561
Éú	155895
»á	155574
×Ô	154712
×Å	152017
È¥	150167
Ö®	148781
¹ý	148620
¼Ò	147392
Ñ§	142079
¶Ô	141467
¿É	140895
Ëý	138509
Àï	136416
ºó	134799
Ð¡	132962
Ã´	125564
ÐÄ	124304
¶à	122652
Ìì	119232
¶ø	118062
ÄÜ	115047
ºÃ	114834
¶¼	114743
È»	114327
Ã»	110998
ÈÕ	108074
ÓÚ	107566
Æð	106706
»¹	105818
·¢	105708
³É	105276
ÊÂ	104325
Ö»	104112
×÷	101837
µ±	100921
Ïë	98826
¿´	98021
ÎÄ	97453
ÎÞ	97088
¿ª	96168
ÊÖ	96051
Ê®	95937
ÓÃ	94562
Ö÷	92903
ÐÐ	92509
·½	91799
ÓÖ	91787
Èç	91476
Ç°	90859
Ëù	89692
±¾	89504
¼û	88956
¾­	86214
Í·	85964
Ãæ	85688
¹«	85606
Í¬	85093
Èý	84157
ÒÑ	83385
ÀÏ	82862
´Ó	82514
¶¯	80929
Á½	80312
³¤	80168
Öª	80094
Ãñ	79042
Ñù	77022
ÏÖ	76855
·Ö	76484
½«	76253
Íâ	76101
µ«	76093
Éí	76016
Ð©	75332
Óë	74939
¸ß	73846
Òâ	73220
½ø	73161
°Ñ	72131
·¨	71904
´Ë	71861
Êµ	71137
»Ø	70843
¶þ	70513
Àí	70152
ÃÀ	69398
µã	69284
ÔÂ	69244
Ã÷	69191
Æä	69148
ÖÖ	68859
Éù	68810
È«	68645
¹¤	68059
¼º	67328
»°	66679
¶ù	66422
Õß	65961
